78	IKI20100	01.00.12.01-2009	IKI10400	06.00.12.01-2010
79	IKI20100	01.00.12.01-2009	IKI10400	08.00.12.01-2011
80	IKI20100	01.00.12.01-2009	IKI20100	01.00.12.01-2006
81	IKI20100	01.00.12.01-2009	IKI20100	06.00.12.01-2006
82	IKI20100	01.00.12.01-2009	IKI20100	06.00.12.01-2009
83	IKI20100	01.00.12.01-2009	IKI30100	01.00.12.01-2002
84	IKI20200	01.00.12.01-2009	IKI20200	01.00.12.01-2002
85	IKI20200	01.00.12.01-2009	IKI20200	01.00.12.01-2006
86	IKI20230	01.00.12.01-2009	CSF2600505	01.00.12.01-2012
87	IKI20230	01.00.12.01-2009	CSF2600505	06.00.12.01-2012
88	IKI20230	01.00.12.01-2009	CSF2600505	08.00.12.01-2012
89	IKI20230	01.00.12.01-2009	CSF2600505	09.00.12.01-2012
90	IKI20230	01.00.12.01-2009	CSGE602055	01.00.12.01-2016
91	IKI20230	01.00.12.01-2009	CSGE602055	06.00.12.01-2016
92	IKI20230	01.00.12.01-2009	CSGE602055	08.00.12.01-2016
93	IKI20230	01.00.12.01-2009	CSGE602055	09.00.12.01-2016
94	IKI20230	01.00.12.01-2009	IKI20230	01.00.12.01-2002
95	IKI20230	01.00.12.01-2009	IKI20230	01.00.12.01-2006
96	IKI20230	01.00.12.01-2009	IKI20230	06.00.12.01-2006
97	IKI20230	01.00.12.01-2009	IKI20230	06.00.12.01-2009
98	IKI20230	01.00.12.01-2009	IKI20505	01.00.12.01-2010
99	IKI20230	01.00.12.01-2009	IKI20505	06.00.12.01-2010
100	IKI20240	01.00.12.01-2009	CSC3601503	01.00.12.01-2012
101	IKI20240	01.00.12.01-2009	CSC3601503	09.00.12.01-2012
102	IKI20240	01.00.12.01-2009	CSCM603154	01.00.12.01-2016
103	IKI20240	01.00.12.01-2009	CSCM603154	09.00.12.01-2016
104	IKI20240	01.00.12.01-2009	IKI20240	01.00.12.01-2002
105	IKI20240	01.00.12.01-2009	IKI20240	01.00.12.01-2006
106	IKI20240	01.00.12.01-2009	IKI20240	06.00.12.01-2009
107	IKI20240	01.00.12.01-2009	IKO31503	01.00.12.01-2010
108	IKI20430	01.00.12.01-2009	CSF2600700	01.00.12.01-2012
109	IKI20430	01.00.12.01-2009	CSF2600700	06.00.12.01-2012
110	IKI20430	01.00.12.01-2009	CSF2600700	08.00.12.01-2012
111	IKI20430	01.00.12.01-2009	CSF2600700	09.00.12.01-2012
112	IKI20430	01.00.12.01-2009	CSGE602070	01.00.12.01-2016
113	IKI20430	01.00.12.01-2009	CSGE602070	06.00.12.01-2016
114	IKI20430	01.00.12.01-2009	CSGE602070	08.00.12.01-2016
115	IKI20430	01.00.12.01-2009	CSGE602070	09.00.12.01-2016
116	IKI20430	01.00.12.01-2009	IKI20420	01.00.12.01-2002
117	IKI20430	01.00.12.01-2009	IKI20430	01.00.12.01-2006
118	IKI20430	01.00.12.01-2009	IKI20430	06.00.12.01-2009
119	IKI20430	01.00.12.01-2009	IKI20700	01.00.12.01-2010
