hasil,pras2
tidak lulus,2.7
hati hati,2.7
hati hati,2.0
hati hati,2.0
hati hati,2.7
lulus,3.7
hati hati,4.0
lulus,4.0
tidak lulus,4.0
lulus,2.0
lulus,3.7
lulus,2.7
hati hati,4.0
hati hati,3.7
hati hati,3.3
