,pras1,pras2,y
942,3.0,4.0,tidak lulus
943,3.0,4.0,tidak lulus
944,4.0,3.0,tidak lulus
945,3.0,4.0,tidak lulus
946,3.0,4.0,tidak lulus
947,2.0,4.0,tidak lulus
948,2.0,3.0,tidak lulus
949,2.0,3.0,tidak lulus
950,3.0,4.0,tidak lulus
951,3.0,4.0,tidak lulus
952,2.0,3.0,tidak lulus
953,2.0,3.0,tidak lulus
954,2.0,3.0,tidak lulus
955,4.0,3.0,tidak lulus
956,4.0,3.0,tidak lulus
957,4.0,3.0,tidak lulus
958,4.0,3.0,tidak lulus
959,3.0,4.0,tidak lulus
960,4.0,3.0,tidak lulus
961,2.0,3.0,tidak lulus
962,4.0,3.0,tidak lulus
963,3.0,4.0,tidak lulus
964,2.0,3.0,tidak lulus
965,4.0,3.0,tidak lulus
966,4.0,3.0,tidak lulus
967,2.0,3.0,tidak lulus
968,2.0,3.0,tidak lulus
969,4.0,3.0,tidak lulus
970,2.0,3.0,tidak lulus
971,4.0,3.0,tidak lulus
972,4.0,3.0,tidak lulus
973,2.0,3.0,tidak lulus
974,2.0,3.0,tidak lulus
975,4.0,3.0,tidak lulus
976,4.0,3.0,tidak lulus
977,4.0,3.0,tidak lulus
978,2.0,4.0,tidak lulus
979,3.0,4.0,tidak lulus
980,4.0,3.0,tidak lulus
981,3.0,4.0,tidak lulus
982,4.0,3.0,tidak lulus
983,3.0,4.0,tidak lulus
984,4.0,3.0,tidak lulus
985,4.0,3.0,tidak lulus
986,4.0,3.0,tidak lulus
987,3.0,4.0,tidak lulus
988,4.0,3.0,tidak lulus
989,2.0,3.0,tidak lulus
990,4.0,3.0,tidak lulus
991,4.0,3.0,tidak lulus
992,3.0,4.0,tidak lulus
993,3.0,4.0,tidak lulus
994,4.0,3.0,tidak lulus
995,4.0,3.0,tidak lulus
996,4.0,3.0,tidak lulus
997,4.0,3.0,tidak lulus
998,3.0,4.0,tidak lulus
999,4.0,3.0,tidak lulus
1000,3.0,4.0,tidak lulus
1001,3.0,4.0,tidak lulus
1002,3.0,4.0,tidak lulus
1003,4.0,3.0,tidak lulus
1004,2.0,3.0,tidak lulus
1005,4.0,3.0,tidak lulus
1006,3.0,4.0,tidak lulus
1007,4.0,3.0,tidak lulus
1008,3.0,4.0,tidak lulus
1009,4.0,3.0,tidak lulus
1010,3.0,4.0,tidak lulus
1011,3.0,4.0,tidak lulus
1012,4.0,3.0,tidak lulus
1013,4.0,3.0,tidak lulus
1014,3.0,4.0,tidak lulus
1015,3.0,4.0,tidak lulus
1016,4.0,3.0,tidak lulus
1017,2.0,3.0,tidak lulus
1018,4.0,3.0,tidak lulus
1019,4.0,3.0,tidak lulus
1020,2.0,3.0,tidak lulus
1021,4.0,3.0,tidak lulus
1022,2.0,3.0,tidak lulus
1023,2.0,3.0,tidak lulus
1024,2.0,3.0,tidak lulus
1025,3.0,4.0,tidak lulus
1026,4.0,3.0,tidak lulus
1027,3.0,4.0,tidak lulus
1028,4.0,3.0,tidak lulus
1029,4.0,3.0,tidak lulus
1030,4.0,3.0,tidak lulus
1031,4.0,3.0,tidak lulus
1032,4.0,3.0,tidak lulus
1033,2.0,3.0,tidak lulus
1034,4.0,3.0,tidak lulus
1035,2.0,3.0,tidak lulus
1036,2.0,3.0,tidak lulus
1037,3.0,4.0,tidak lulus
1038,4.0,3.0,tidak lulus
1039,4.0,3.0,tidak lulus
1040,2.0,3.0,tidak lulus
1041,4.0,3.0,tidak lulus
1042,4.0,3.0,tidak lulus
1043,4.0,3.0,tidak lulus
1044,2.0,3.0,tidak lulus
1045,4.0,3.0,tidak lulus
1046,4.0,3.0,tidak lulus
1047,2.0,3.0,tidak lulus
1048,3.0,4.0,tidak lulus
1049,2.0,3.0,tidak lulus
1050,3.0,4.0,tidak lulus
1051,4.0,3.0,tidak lulus
1052,2.0,4.0,tidak lulus
1053,4.0,3.0,tidak lulus
1054,2.0,3.0,tidak lulus
1055,4.0,3.0,tidak lulus
1056,4.0,3.0,tidak lulus
1057,4.0,3.0,tidak lulus
1058,4.0,3.0,tidak lulus
1059,4.0,3.0,tidak lulus
1060,3.0,4.0,tidak lulus
1061,4.0,3.0,tidak lulus
1062,4.0,3.0,tidak lulus
1063,4.0,3.0,tidak lulus
1064,3.0,4.0,tidak lulus
1065,4.0,3.0,tidak lulus
1066,4.0,3.0,tidak lulus
1067,3.0,4.0,tidak lulus
1068,4.0,3.0,tidak lulus
1069,4.0,3.0,tidak lulus
1070,4.0,3.0,tidak lulus
1071,4.0,3.0,tidak lulus
1072,3.0,4.0,tidak lulus
1073,2.0,3.0,tidak lulus
1074,3.0,4.0,tidak lulus
1075,3.0,4.0,tidak lulus
1076,4.0,3.0,tidak lulus
1077,2.0,3.0,tidak lulus
1078,4.0,3.0,tidak lulus
1079,4.0,3.0,tidak lulus
1080,3.0,4.0,tidak lulus
1081,4.0,3.0,tidak lulus
1082,4.0,3.0,tidak lulus
1083,2.0,3.0,tidak lulus
1084,3.0,4.0,tidak lulus
1085,3.0,4.0,tidak lulus
1086,4.0,3.0,tidak lulus
1087,4.0,3.0,tidak lulus
1088,4.0,3.0,tidak lulus
1089,4.0,3.0,tidak lulus
1090,4.0,3.0,tidak lulus
1091,4.0,3.0,tidak lulus
1092,4.0,3.0,tidak lulus
1093,2.0,3.0,tidak lulus
1094,2.0,3.0,tidak lulus
1095,4.0,3.0,tidak lulus
1096,4.0,3.0,tidak lulus
1097,4.0,3.0,tidak lulus
1098,4.0,3.0,tidak lulus
1099,2.0,3.0,tidak lulus
1100,4.0,3.0,tidak lulus
1101,2.0,3.0,tidak lulus
1102,4.0,3.0,tidak lulus
1103,2.0,3.0,tidak lulus
1104,3.0,4.0,tidak lulus
1105,4.0,3.0,tidak lulus
1106,4.0,3.0,tidak lulus
1107,3.0,4.0,tidak lulus
1108,2.0,3.0,tidak lulus
1109,3.0,4.0,tidak lulus
1110,3.0,4.0,tidak lulus
1111,4.0,3.0,tidak lulus
1112,3.0,4.0,tidak lulus
1113,4.0,3.0,tidak lulus
1114,4.0,3.0,tidak lulus
1115,4.0,3.0,tidak lulus
1116,3.0,4.0,tidak lulus
1117,4.0,3.0,tidak lulus
1118,4.0,3.0,tidak lulus
1119,4.0,3.0,tidak lulus
1120,4.0,3.0,tidak lulus
1121,2.0,3.0,tidak lulus
1122,3.0,4.0,tidak lulus
1123,2.0,3.0,tidak lulus
1124,4.0,3.0,tidak lulus
1125,2.0,3.0,tidak lulus
1126,4.0,3.0,tidak lulus
1127,4.0,3.0,tidak lulus
1128,3.0,4.0,tidak lulus
1129,4.0,3.0,tidak lulus
1130,3.0,4.0,tidak lulus
1131,4.0,3.0,tidak lulus
1132,4.0,3.0,tidak lulus
1133,2.0,3.0,tidak lulus
1134,3.0,4.0,tidak lulus
1135,3.0,4.0,tidak lulus
1136,4.0,3.0,tidak lulus
1137,4.0,3.0,tidak lulus
1138,2.0,3.0,tidak lulus
1139,4.0,3.0,tidak lulus
1140,4.0,3.0,tidak lulus
1141,3.0,4.0,tidak lulus
1142,4.0,3.0,tidak lulus
1143,4.0,3.0,tidak lulus
1144,4.0,3.0,tidak lulus
1145,2.0,3.0,tidak lulus
1146,4.0,3.0,tidak lulus
1147,4.0,3.0,tidak lulus
1148,4.0,3.0,tidak lulus
1149,3.0,4.0,tidak lulus
1150,4.0,3.0,tidak lulus
1151,4.0,3.0,tidak lulus
1152,4.0,3.0,tidak lulus
1153,2.0,4.0,tidak lulus
1154,4.0,3.0,tidak lulus
1155,3.0,4.0,tidak lulus
1156,2.0,3.0,tidak lulus
1157,3.0,4.0,tidak lulus
1158,2.0,3.0,tidak lulus
1159,3.0,4.0,tidak lulus
1160,2.0,4.0,tidak lulus
1161,2.0,3.0,tidak lulus
1162,3.0,4.0,tidak lulus
1163,4.0,3.0,tidak lulus
1164,3.0,4.0,tidak lulus
1165,4.0,3.0,tidak lulus
1166,3.0,4.0,tidak lulus
1167,4.0,3.0,tidak lulus
1168,3.0,4.0,tidak lulus
1169,4.0,3.0,tidak lulus
1170,3.0,4.0,tidak lulus
1171,4.0,3.0,tidak lulus
1172,2.0,3.0,tidak lulus
1173,4.0,3.0,tidak lulus
1174,4.0,3.0,tidak lulus
1175,4.0,3.0,tidak lulus
1176,3.0,4.0,tidak lulus
1177,4.0,3.0,tidak lulus
1178,4.0,3.0,tidak lulus
1179,4.0,3.0,tidak lulus
1180,2.0,3.0,tidak lulus
1181,3.0,4.0,tidak lulus
1182,3.0,4.0,tidak lulus
1183,4.0,3.0,tidak lulus
1184,4.0,3.0,tidak lulus
1185,4.0,3.0,tidak lulus
1186,2.0,3.0,tidak lulus
1187,4.0,3.0,tidak lulus
1188,4.0,3.0,tidak lulus
1189,4.0,3.0,tidak lulus
1190,4.0,3.0,tidak lulus
1191,2.0,3.0,tidak lulus
1192,4.0,3.0,tidak lulus
1193,4.0,3.0,tidak lulus
1194,4.0,3.0,tidak lulus
1195,4.0,3.0,tidak lulus
1196,3.0,4.0,tidak lulus
1197,2.0,3.0,tidak lulus
1198,3.0,4.0,tidak lulus
1199,2.0,4.0,tidak lulus
1200,4.0,3.0,tidak lulus
1201,3.0,4.0,tidak lulus
1202,4.0,3.0,tidak lulus
1203,3.0,4.0,tidak lulus
1204,4.0,3.0,tidak lulus
1205,4.0,3.0,tidak lulus
1206,4.0,3.0,tidak lulus
1207,2.0,3.0,tidak lulus
1208,4.0,3.0,tidak lulus
1209,4.0,3.0,tidak lulus
1210,3.0,4.0,tidak lulus
1211,3.0,4.0,tidak lulus
1212,3.0,4.0,tidak lulus
1213,2.0,3.0,tidak lulus
1214,4.0,3.0,tidak lulus
1215,2.0,3.0,tidak lulus
1216,4.0,3.0,tidak lulus
1217,4.0,3.0,tidak lulus
1218,3.0,4.0,tidak lulus
1219,3.0,4.0,tidak lulus
1220,4.0,3.0,tidak lulus
1221,3.0,4.0,tidak lulus
1222,3.0,4.0,tidak lulus
1223,4.0,3.0,tidak lulus
1224,4.0,3.0,tidak lulus
1225,4.0,3.0,tidak lulus
1226,4.0,3.0,tidak lulus
1227,2.0,3.0,tidak lulus
1228,2.0,3.0,tidak lulus
1229,4.0,3.0,tidak lulus
1230,2.0,3.0,tidak lulus
1231,4.0,3.0,tidak lulus
1232,3.0,4.0,tidak lulus
1233,4.0,3.0,tidak lulus
1234,3.0,4.0,tidak lulus
1235,4.0,3.0,tidak lulus
1236,4.0,3.0,tidak lulus
1237,3.0,4.0,tidak lulus
1238,2.0,3.0,tidak lulus
1239,2.0,4.0,tidak lulus
1240,4.0,3.0,tidak lulus
1241,4.0,3.0,tidak lulus
1242,2.0,3.0,tidak lulus
1243,3.0,4.0,tidak lulus
1244,3.0,4.0,tidak lulus
