,pras1,pras2,y
215,4.0,2.0,hati hati
216,3.0,4.0,hati hati
217,3.0,4.0,hati hati
218,3.0,3.0,hati hati
219,3.0,3.0,hati hati
220,3.0,3.0,hati hati
221,3.0,4.0,hati hati
222,3.0,4.0,hati hati
223,3.0,4.0,hati hati
224,2.0,3.0,tidak lulus
225,2.0,3.0,tidak lulus
226,3.0,3.0,lulus
227,3.0,3.0,lulus
228,3.0,4.0,lulus
229,3.0,4.0,lulus
230,4.0,4.0,hati hati
231,4.0,4.0,hati hati
232,3.0,4.0,hati hati
233,3.0,4.0,hati hati
234,4.0,4.0,lulus
235,4.0,4.0,lulus
236,4.0,4.0,lulus
237,4.0,4.0,lulus
238,3.0,4.0,hati hati
239,3.0,4.0,hati hati
240,3.0,2.0,lulus
241,3.0,2.0,lulus
242,3.0,4.0,hati hati
243,3.0,4.0,hati hati
244,3.0,4.0,hati hati
245,3.0,3.0,hati hati
246,3.0,3.0,hati hati
247,3.0,4.0,hati hati
248,3.0,4.0,hati hati
249,3.0,4.0,hati hati
250,3.0,4.0,hati hati
251,3.0,2.0,hati hati
252,3.0,2.0,hati hati
253,3.0,4.0,hati hati
254,3.0,4.0,hati hati
255,4.0,2.0,hati hati
256,4.0,2.0,hati hati
257,4.0,3.0,lulus
258,4.0,3.0,lulus
259,4.0,3.0,lulus
260,4.0,3.0,hati hati
261,4.0,3.0,hati hati
262,2.0,2.0,hati hati
263,2.0,2.0,hati hati
264,2.0,3.0,hati hati
265,2.0,3.0,hati hati
266,3.0,3.0,hati hati
267,3.0,3.0,hati hati
268,4.0,3.0,hati hati
269,4.0,3.0,hati hati
270,4.0,3.0,hati hati
271,4.0,3.0,hati hati
272,3.0,3.0,hati hati
273,3.0,3.0,hati hati
274,4.0,3.0,lulus
275,4.0,3.0,lulus
276,4.0,3.0,lulus
277,3.0,4.0,lulus
278,3.0,4.0,lulus
279,4.0,2.0,lulus
280,4.0,2.0,lulus
281,4.0,2.0,lulus
282,4.0,4.0,hati hati
283,4.0,4.0,hati hati
284,4.0,4.0,hati hati
285,3.0,2.0,lulus
286,3.0,2.0,lulus
287,3.0,3.0,hati hati
288,3.0,3.0,hati hati
289,3.0,3.0,hati hati
290,4.0,1.0,lulus
291,4.0,1.0,lulus
292,2.0,3.0,hati hati
293,2.0,3.0,hati hati
294,2.0,3.0,hati hati
295,3.0,4.0,hati hati
296,3.0,4.0,hati hati
297,4.0,3.0,lulus
298,4.0,3.0,lulus
299,4.0,3.0,lulus
300,2.0,2.0,hati hati
301,2.0,2.0,hati hati
302,2.0,2.0,hati hati
303,2.0,2.0,hati hati
304,3.0,3.0,lulus
305,3.0,3.0,lulus
306,3.0,3.0,lulus
307,3.0,3.0,lulus
308,3.0,3.0,lulus
309,3.0,3.0,lulus
310,4.0,2.0,lulus
311,4.0,2.0,lulus
312,4.0,2.0,lulus
313,4.0,2.0,lulus
314,4.0,4.0,hati hati
315,4.0,4.0,hati hati
316,4.0,3.0,hati hati
317,4.0,3.0,hati hati
318,4.0,3.0,hati hati
319,3.0,3.0,hati hati
320,3.0,3.0,hati hati
321,2.0,3.0,hati hati
322,2.0,3.0,hati hati
323,2.0,4.0,hati hati
